"","COMUNA","FECHA","PERIODO","MES","DIA","DIA_NOMBRE","total","DIA_NUM","pasted","especial"
"127","Aranjuez","2014-05-08T00:00:00.000Z",2014,5,8,"JUEVES   ",6,4,"8/5/2014",0
"128","Aranjuez","2014-05-09T00:00:00.000Z",2014,5,9,"VIERNES  ",7,5,"9/5/2014",0
"129","Aranjuez","2014-05-10T00:00:00.000Z",2014,5,10,"SÁBADO   ",7,6,"10/5/2014",0
"130","Aranjuez","2014-05-11T00:00:00.000Z",2014,5,11,"DOMINGO  ",6,7,"11/5/2014",1
"131","Aranjuez","2014-05-12T00:00:00.000Z",2014,5,12,"LUNES    ",4,1,"12/5/2014",0
"132","Aranjuez","2014-05-13T00:00:00.000Z",2014,5,13,"MARTES   ",8,2,"13/5/2014",0
"133","Aranjuez","2014-05-14T00:00:00.000Z",2014,5,14,"MIÉRCOLES",7,3,"14/5/2014",0
"134","Aranjuez","2014-05-15T00:00:00.000Z",2014,5,15,"JUEVES   ",9,4,"15/5/2014",0
"135","Aranjuez","2014-05-16T00:00:00.000Z",2014,5,16,"VIERNES  ",8,5,"16/5/2014",0
"136","Aranjuez","2014-05-17T00:00:00.000Z",2014,5,17,"SÁBADO   ",7,6,"17/5/2014",0
"137","Aranjuez","2014-05-18T00:00:00.000Z",2014,5,18,"DOMINGO  ",7,7,"18/5/2014",0
"138","Aranjuez","2014-05-19T00:00:00.000Z",2014,5,19,"LUNES    ",10,1,"19/5/2014",0
"139","Aranjuez","2014-05-20T00:00:00.000Z",2014,5,20,"MARTES   ",5,2,"20/5/2014",0
"140","Aranjuez","2014-05-21T00:00:00.000Z",2014,5,21,"MIÉRCOLES",11,3,"21/5/2014",0
"141","Aranjuez","2014-05-22T00:00:00.000Z",2014,5,22,"JUEVES   ",12,4,"22/5/2014",0
"142","Aranjuez","2014-05-23T00:00:00.000Z",2014,5,23,"VIERNES  ",6,5,"23/5/2014",0
"143","Aranjuez","2014-05-24T00:00:00.000Z",2014,5,24,"SÁBADO   ",11,6,"24/5/2014",0
"144","Aranjuez","2014-05-25T00:00:00.000Z",2014,5,25,"DOMINGO  ",5,7,"25/5/2014",0
"145","Aranjuez","2014-05-26T00:00:00.000Z",2014,5,26,"LUNES    ",9,1,"26/5/2014",0
"146","Aranjuez","2014-05-27T00:00:00.000Z",2014,5,27,"MARTES   ",7,2,"27/5/2014",0
"147","Aranjuez","2014-05-28T00:00:00.000Z",2014,5,28,"MIÉRCOLES",7,3,"28/5/2014",0
"148","Aranjuez","2014-05-29T00:00:00.000Z",2014,5,29,"JUEVES   ",6,4,"29/5/2014",0
"149","Aranjuez","2014-05-30T00:00:00.000Z",2014,5,30,"VIERNES  ",5,5,"30/5/2014",0
"150","Aranjuez","2014-05-31T00:00:00.000Z",2014,5,31,"SÁBADO   ",7,6,"31/5/2014",0
"151","Aranjuez","2014-06-01T00:00:00.000Z",2014,6,1,"DOMINGO  ",6,7,"1/6/2014",0
"152","Aranjuez","2014-06-02T00:00:00.000Z",2014,6,2,"LUNES    ",6,1,"2/6/2014",1
"153","Aranjuez","2014-06-03T00:00:00.000Z",2014,6,3,"MARTES   ",10,2,"3/6/2014",0
"154","Aranjuez","2014-06-04T00:00:00.000Z",2014,6,4,"MIÉRCOLES",6,3,"4/6/2014",0
"155","Aranjuez","2014-06-05T00:00:00.000Z",2014,6,5,"JUEVES   ",5,4,"5/6/2014",0
"156","Aranjuez","2014-06-06T00:00:00.000Z",2014,6,6,"VIERNES  ",6,5,"6/6/2014",0
"157","Aranjuez","2014-06-07T00:00:00.000Z",2014,6,7,"SÁBADO   ",6,6,"7/6/2014",0
"158","Aranjuez","2014-06-08T00:00:00.000Z",2014,6,8,"DOMINGO  ",4,7,"8/6/2014",0
"159","Aranjuez","2014-06-09T00:00:00.000Z",2014,6,9,"LUNES    ",7,1,"9/6/2014",0
"160","Aranjuez","2014-06-10T00:00:00.000Z",2014,6,10,"MARTES   ",8,2,"10/6/2014",0
"161","Aranjuez","2014-06-11T00:00:00.000Z",2014,6,11,"MIÉRCOLES",9,3,"11/6/2014",0
"162","Aranjuez","2014-06-12T00:00:00.000Z",2014,6,12,"JUEVES   ",5,4,"12/6/2014",0
"163","Aranjuez","2014-06-13T00:00:00.000Z",2014,6,13,"VIERNES  ",10,5,"13/6/2014",0
"164","Aranjuez","2014-06-14T00:00:00.000Z",2014,6,14,"SÁBADO   ",7,6,"14/6/2014",0
"165","Aranjuez","2014-06-15T00:00:00.000Z",2014,6,15,"DOMINGO  ",5,7,"15/6/2014",0
"166","Aranjuez","2014-06-16T00:00:00.000Z",2014,6,16,"LUNES    ",5,1,"16/6/2014",0
"167","Aranjuez","2014-06-17T00:00:00.000Z",2014,6,17,"MARTES   ",6,2,"17/6/2014",0
"168","Aranjuez","2014-06-18T00:00:00.000Z",2014,6,18,"MIÉRCOLES",3,3,"18/6/2014",0
"169","Aranjuez","2014-06-19T00:00:00.000Z",2014,6,19,"JUEVES   ",12,4,"19/6/2014",0
"170","Aranjuez","2014-06-20T00:00:00.000Z",2014,6,20,"VIERNES  ",9,5,"20/6/2014",0
"171","Aranjuez","2014-06-21T00:00:00.000Z",2014,6,21,"SÁBADO   ",6,6,"21/6/2014",0
"172","Aranjuez","2014-06-22T00:00:00.000Z",2014,6,22,"DOMINGO  ",10,7,"22/6/2014",0
"173","Aranjuez","2014-06-23T00:00:00.000Z",2014,6,23,"LUNES    ",4,1,"23/6/2014",1
"174","Aranjuez","2014-06-24T00:00:00.000Z",2014,6,24,"MARTES   ",10,2,"24/6/2014",0
"175","Aranjuez","2014-06-25T00:00:00.000Z",2014,6,25,"MIÉRCOLES",8,3,"25/6/2014",0
"176","Aranjuez","2014-06-26T00:00:00.000Z",2014,6,26,"JUEVES   ",6,4,"26/6/2014",0
"177","Aranjuez","2014-06-27T00:00:00.000Z",2014,6,27,"VIERNES  ",4,5,"27/6/2014",0
"178","Aranjuez","2014-06-28T00:00:00.000Z",2014,6,28,"SÁBADO   ",8,6,"28/6/2014",0
"179","Aranjuez","2014-06-29T00:00:00.000Z",2014,6,29,"DOMINGO  ",2,7,"29/6/2014",0
"180","Aranjuez","2014-06-30T00:00:00.000Z",2014,6,30,"LUNES    ",3,1,"30/6/2014",1
"181","Aranjuez","2014-07-01T00:00:00.000Z",2014,7,1,"MARTES   ",11,2,"1/7/2014",0
"182","Aranjuez","2014-07-02T00:00:00.000Z",2014,7,2,"MIÉRCOLES",9,3,"2/7/2014",0
"183","Aranjuez","2014-07-03T00:00:00.000Z",2014,7,3,"JUEVES   ",5,4,"3/7/2014",0
"184","Aranjuez","2014-07-04T00:00:00.000Z",2014,7,4,"VIERNES  ",10,5,"4/7/2014",0
"185","Aranjuez","2014-07-05T00:00:00.000Z",2014,7,5,"SÁBADO   ",10,6,"5/7/2014",0
"186","Aranjuez","2014-07-06T00:00:00.000Z",2014,7,6,"DOMINGO  ",9,7,"6/7/2014",0
"187","Aranjuez","2014-07-07T00:00:00.000Z",2014,7,7,"LUNES    ",11,1,"7/7/2014",0
"188","Aranjuez","2014-07-08T00:00:00.000Z",2014,7,8,"MARTES   ",5,2,"8/7/2014",0
